root@6b0c533fcceb:/workspaces/linux-study# sar -r 1
Linux 5.15.49-linuxkit (6b0c533fcceb)   06/07/23        _aarch64_       (4 CPU)

23:34:44    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:41:17      1576056   6806660   6565156     80.64    199264   5386988   5863184     63.80   1725596   4485328         8
23:41:18      1563664   6804768   6577548     80.79    199264   5397476   5865016     63.82   1725624   4492588         8
23:41:19      1552472   6804916   6588740     80.93    199272   5408576   5861776     63.79   1725616   4505584         8
23:41:20      1545716   6809776   6595496     81.01    199272   5420164   5862480     63.79   1725612   4514196         8
23:41:21      1529716   6804792   6611496     81.21    199272   5431220   5862480     63.79   1725620   4526148         8
23:41:22      1513996   6801312   6627216     81.40    199272   5443460   5859664     63.76   1725596   4539176         8

23:41:22    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:41:23      1500288   6799748   6640924     81.57    199272   5455200   5860792     63.78   1725596   4552164         8
23:41:24      1488648   6800644   6652564     81.71    199280   5468036   5859664     63.76   1725604   4564268         8
23:41:25      1476164   6799524   6665048     81.87    199280   5479412   5859664     63.76   1725604   4576036         8
23:41:26      1471768   6806880   6669444     81.92    199280   5491076   5862480     63.79   1725620   4584948         8
23:41:27      1459840   6804972   6681372     82.07    199280   5501100   5864592     63.82   1725632   4597756         8
23:41:28      1451296   6807980   6689916     82.17    199280   5512580   5862904     63.80   1725632   4606640         8
23:41:29      1433528   6801296   6707684     82.39    199288   5523628   5865296     63.82   1725644   4617764         8
23:41:30      1427104   6806596   6714108     82.47    199288   5535364   5863184     63.80   1725636   4627876         8
23:41:31      1416812   6807548   6724400     82.60    199288   5546552   5861776     63.79   1725628   4639408         8
23:41:32      1403912   6805428   6737300     82.76    199288   5557340   5860368     63.77   1725620   4650916         8
23:41:33      1387648   6800360   6753564     82.96    199288   5568480   5861496     63.78   1725628   4664736         8
23:41:34      1375328   6800000   6765884     83.11    199296   5580436   5859664     63.76   1725620   4676588         8

23:41:34    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:41:35      1362192   6799080   6779020     83.27    199296   5592644   5859664     63.76   1725620   4689388         8
23:41:36      1350680   6799732   6790532     83.41    199296   5604740   5969856     64.96   1725620   4701312         8
23:41:37      1351944   6810872   6789268     83.39    199296   5614592   5863184     63.80   1725644   4707388         0
23:41:38      1351984   6815428   6789228     83.39    199296   5619080   5860656     63.77   1725648   4708216         0
23:41:39      1347332   6810788   6793880     83.45    199304   5619080   5860656     63.77   1725628   4707652         0
23:41:40      1348592   6812052   6792620     83.43    199304   5619080   5859528     63.76   1725628   4707760         0
23:41:41      1348592   6812052   6792620     83.43    199304   5619080   5859664     63.76   2298388   4135396         0
23:41:42      2404812   6817508   5736400     70.46    199304   4570500   5858744     63.75   1725624   3658128       100
23:41:43      2406828   6819524   5734384     70.44    199304   4570500   5886752     64.06   1725660   3659396       104
23:41:44      2397540   6810264   5743672     70.55    199308   4570500   5890976     64.10   1725660   3662072       112
23:41:45      2396544   6809304   5744668     70.56    199308   4570500   5968936     64.95   1725660   3661652       112
23:41:46      2395536   6808288   5745676     70.58    199308   4570500   5858744     63.75   1725648   3662192       112

23:41:46    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:41:47      2394508   6807260   5746704     70.59    199308   4570500   5861560     63.78   1725672   3667692       112
^C
Average:      2141047   6806075   6000165     73.70    199155   4822746   5862645     63.80   1728275   3915874        17
